sepal	petal	species
0.734791757771745	0.62295997957699	1
0.375330350128934	0.232883857563138	-1
0.643578254617751	0.490287593333051	1
0.212311014533043	0.331973812775686	-1
0.226457945303991	0.283176449593157	-1
0.747433811891824	0.87564998283051	1
0.680525969713926	0.353219694457948	1
0.00322371977381408	0.621487237280235	-1
0.966357070952654	0.320991150103509	1
0.69469977193512	0.541976472130045	1
0.780255557736382	0.579725176794454	1
0.142827987903729	0.339269035728648	-1
0.235738415038213	0.132894114591181	-1
0.935743433656171	0.716482750372961	1
0.710651750909165	0.944875714369118	1
0.0775538084562868	0.523902462329715	-1
0.294296294217929	0.126466681715101	-1
0.859144762158394	0.626432110322639	1
0.685230151982978	0.0823789485730231	-1
0.288460601354018	0.307622470892966	-1
0.543844699393958	0.775136752752587	1
0.364015075843781	0.303856696933508	-1
0.0565700228326023	0.700277561554685	-1
0.965959555236623	0.442501927725971	1
0.969626846490428	0.818843791726977	1
0.357123220572248	0.265846106456593	-1
0.255840854486451	0.393557485658675	-1
0.470818275120109	0.895078536821529	1
0.663766490062699	0.931606588186696	1
0.856696429662406	0.566539674298838	1
0.663520151283592	0.174239557236433	-1
0.985039248131216	0.213691270211712	1
0.178206059616059	0.496546043315902	-1
0.069466536398977	0.82373870885931	-1
0.284715825691819	0.806049070088193	1
0.074258899781853	0.188982069958001	-1
0.198252546368167	0.990299407858402	1
0.104790975572541	0.627407307969406	-1
0.0828383604530245	0.11263978225179	-1
0.434776780894026	0.976631356170401	1
0.210153243970126	0.294464678503573	-1
0.164161398075521	0.206100912531838	-1
0.556043813936412	0.955288080498576	1
0.781941071152687	0.243888156022877	1
0.883675113553181	0.774304775288329	1
0.919452812289819	0.991533389315009	1
0.251071525039151	0.800340109504759	1
0.388302799779922	0.308074451517314	-1
0.666563376085833	0.517694534966722	1
0.738012664485723	0.146738294744864	-1
0.720459959935397	0.668049710802734	1
0.527226488338783	0.00649333628825843	-1
0.955072352662683	0.639340051682666	1
0.94282002444379	0.304503523046151	1
0.137705326080322	0.512997865444049	-1
0.186008431715891	0.976676989812404	1
0.63273285725154	0.618110789451748	1
0.557907518697903	0.248759140493348	-1
0.564361687283963	0.166152317542583	-1
0.830068587325513	0.249010267434642	1
0.854557955171913	0.882709210040048	1
0.541743553942069	0.962669220753014	1
0.692052531288937	0.664703789167106	1
0.872887483565137	0.697025842964649	1
0.920321844052523	0.941614397335798	1
0.734719882952049	0.89163864008151	1
0.205916265491396	0.0522238134872168	-1
0.993018785724416	0.588767019100487	1
0.986799698090181	0.645174089586362	1
0.994476033374667	0.706025710795075	1
0.159340922255069	0.635417443932965	-1
0.654194513102993	0.0757546359673142	-1
0.0746679643634707	0.352261180058122	-1
0.137071806238964	0.550216901116073	-1
0.126316919457167	0.414318270049989	-1
0.757172832731158	0.0641244957223535	-1
0.189794962760061	0.359006948070601	-1
0.394501856062561	0.551534671336412	-1
0.247089878190309	0.0635643764398992	-1
0.685982336988673	0.707434399286285	1
0.594338115071878	0.279386321082711	-1
0.618068585637957	0.740774349076673	1
0.453495790017769	0.996430444065481	1
0.718976261094213	0.19477795669809	-1
0.443443240365013	0.819150607567281	1
0.844499992439523	0.563398589147255	1
0.649094372754917	0.221452362835407	-1
0.0916967303492129	0.654075387865305	-1
0.52865663706325	0.941015721764416	1
0.449926600791514	0.85248533450067	1
0.218386285239831	0.412107521202415	-1
0.717996748397127	0.978226329898462	1
0.739408909110352	0.105922637041658	-1
0.208015612559393	0.66126034129411	-1
0.924755626358092	0.20972202764824	1
0.0845021174754947	0.908113313606009	-1
0.123514143517241	0.449737049406394	-1
0.043268094304949	0.4998073594179	-1
0.459986003348604	0.375427015125751	-1
0.557139956392348	0.0553787890821695	-1
